City,State,County,Region,Division,Latitude,Longitude,Population,Asian,White,Black,Indian,Hispanic,Hawaiian,Other,Females,Males,Median_age,Median_female_age,Median_male_age,Households,Persons_per_household,Household_income
Blue Springs,Missouri,Jackson,Midwest,West North Central,39.014966,-94.312062,57469,1056,50884,4064,711,2701,194,930,28785,27229,23.77,24.53,22.87,20913,1.783333,37011.0
Blythedale,Missouri,Harrison,Midwest,West North Central,40.508268,-93.860889,299,0,354,0,2,5,1,0,167,189,48.6,51.2,47.4,164,2.17,27750.0
Bogard,Missouri,Carroll,Midwest,West North Central,39.525918,-93.533538,640,0,596,0,0,13,0,7,289,311,42.2,41.1,42.7,238,2.52,31818.0
Bois D Arc,Missouri,Greene,Midwest,West North Central,37.225108,-93.578921,1150,3,1341,2,17,6,0,3,658,696,43.0,42.8,43.2,542,2.5,42276.0
Bolckow,Missouri,Andrew,Midwest,West North Central,40.085927,-94.878464,544,2,600,1,6,5,0,2,304,302,40.3,40.0,40.7,241,2.51,32969.0
Bolivar,Missouri,Polk,Midwest,West North Central,37.642408,-93.394495,16586,124,16896,279,219,387,18,128,9005,8391,34.5,36.6,32.3,6522,2.47,29891.0
Bonne Terre,Missouri,Saint Francois,Midwest,West North Central,37.942778,-90.48443,13522,77,14572,1397,120,176,21,31,6779,9235,38.3,40.8,36.6,5261,2.53,35960.0
Bonnots Mill,Missouri,Osage,Midwest,West North Central,38.580242,-91.921022,1264,0,1376,2,3,5,0,0,667,709,39.5,39.3,39.7,514,2.68,43558.0
Boonville,Missouri,Cooper,Midwest,West North Central,38.900194,-92.719676,10613,84,10409,1281,108,185,8,47,5379,6324,37.5,42.5,33.2,4239,2.41,37127.0
Boss,Missouri,Dent,Midwest,West North Central,37.600742,-91.181758,434,1,515,2,7,0,4,0,266,261,44.7,44.8,44.6,216,2.44,27500.0
Bosworth,Missouri,Carroll,Midwest,West North Central,39.485657,-93.320615,466,0,605,7,0,9,0,1,310,299,44.5,43.0,46.5,257,2.37,31466.0
Bourbon,Missouri,Crawford,Midwest,West North Central,38.107868,-91.218736,3890,27,5126,18,71,53,4,16,2566,2628,39.6,40.2,38.9,2005,2.58,36151.0
Bowling Green,Missouri,Lincoln,Midwest,West North Central,39.296954,-91.174124,6669,40,7469,1077,34,111,9,44,3377,5192,37.6,39.6,36.7,2519,2.57,33224.0
Bradleyville,Missouri,Christian,Midwest,West North Central,36.726974,-92.876122,372,1,589,0,8,4,0,0,302,289,41.1,40.6,42.8,232,2.55,30341.0
Bragg City,Missouri,Pemiscot,Midwest,West North Central,36.260236,-89.867055,746,10,755,53,8,18,0,12,421,408,47.0,47.4,46.5,345,2.4,25833.0
Braggadocio,Missouri,Pemiscot,Midwest,West North Central,36.179093,-89.852938,84,0,84,0,0,0,0,0,42,42,46.8,48.5,46.5,41,2.05,29583.0
Branson,Missouri,Stone,Midwest,West North Central,36.665488,-93.241526,26849,354,22770,453,458,1737,64,825,12590,11694,19.9,20.65,19.05,9964,1.205,16779.0
Brashear,Missouri,Adair,Midwest,West North Central,40.222694,-92.431028,583,11,794,6,11,3,2,0,403,402,42.2,41.8,42.8,330,2.44,30556.0
Braymer,Missouri,Caldwell,Midwest,West North Central,39.582977,-93.758124,1412,7,1653,5,15,5,0,3,827,835,40.8,41.7,39.8,670,2.44,28421.0
Breckenridge,Missouri,Caldwell,Midwest,West North Central,39.764027,-93.814856,599,0,631,9,22,7,0,4,312,332,41.8,43.4,40.7,272,2.37,27000.0
Bridgeton,Missouri,Saint Louis,Midwest,West North Central,38.766252,-90.422146,10324,282,8227,1726,60,694,9,468,5627,4941,45.8,48.3,42.2,4326,2.34,49012.0
Brighton,Missouri,Polk,Midwest,West North Central,37.458203,-93.34517,1734,4,1601,15,17,25,1,4,717,913,40.4,43.7,37.5,594,2.62,40170.0
Brinktown,Missouri,Maries,Midwest,West North Central,38.086265,-92.111766,170,0,96,2,2,0,0,0,48,48,36.5,41.5,32.5,37,2.59,47917.0
Brixey,Missouri,Ozark,Midwest,West North Central,36.753973,-92.395184,120,1,146,1,1,2,0,0,70,78,51.2,49.5,52.3,66,2.24,25000.0
Bronaugh,Missouri,Barton,Midwest,West North Central,37.687754,-94.499116,605,2,590,6,19,7,0,0,297,297,37.8,38.6,36.7,228,2.61,31827.0
Brookfield,Missouri,Chariton,Midwest,West North Central,39.829762,-93.049907,6082,31,5997,135,40,114,1,58,3227,2917,41.5,44.6,39.1,2508,2.39,28000.0
Brookline,Missouri,Christian,Midwest,West North Central,37.118565,-93.384074,7752,180,7076,141,108,182,4,69,3807,3586,36.4,36.8,36.0,2896,2.55,44410.0
Broseley,Missouri,Butler,Midwest,West North Central,36.702514,-90.237556,1207,3,1189,62,13,15,0,0,614,640,40.6,41.9,39.7,510,2.45,29539.0
Browning,Missouri,Linn,Midwest,West North Central,40.004848,-93.21616,549,0,596,4,4,20,0,6,292,310,42.3,47.1,40.8,248,2.43,25703.0
Brownwood,Missouri,Stoddard,Midwest,West North Central,37.08902,-89.957113,76,0,73,0,1,2,0,2,40,36,38.5,42.5,36.0,35,2.17,8333.0
Brumley,Missouri,Miller,Midwest,West North Central,38.106701,-92.495037,1552,1,1527,6,22,27,0,10,778,771,37.6,37.3,38.0,586,2.64,25446.0
Bruner,Missouri,Christian,Midwest,West North Central,37.014266,-92.958163,546,0,260,2,3,4,0,0,123,139,36.3,39.1,33.5,95,2.76,26875.0
Brunswick,Missouri,Chariton,Midwest,West North Central,39.422276,-93.110226,1515,0,1318,94,8,6,0,2,710,694,45.5,46.5,44.5,589,2.31,30050.0
Bucklin,Missouri,Linn,Midwest,West North Central,39.821352,-92.887059,875,2,897,4,5,9,0,0,463,439,48.5,48.1,49.1,409,2.21,26083.0
Buckner,Missouri,Jackson,Midwest,West North Central,39.115945,-94.206814,4344,28,4609,46,70,147,19,54,2336,2377,38.0,38.7,37.1,1756,2.68,43924.0
Bucyrus,Missouri,Texas,Midwest,West North Central,37.371542,-92.060104,1032,6,1069,4,21,29,1,5,539,548,45.5,45.4,45.6,448,2.43,25074.0
Buffalo,Missouri,Dallas,Midwest,West North Central,37.614374,-93.107448,7910,24,8536,51,188,174,16,66,4493,4223,40.8,42.3,39.5,3436,2.49,26062.0
Bunceton,Missouri,Cooper,Midwest,West North Central,38.771511,-92.82108,875,15,879,22,7,4,0,2,457,450,42.4,42.4,42.5,369,2.46,32583.0
Bunker,Missouri,Dent,Midwest,West North Central,37.384146,-91.240787,1003,10,1288,3,35,19,0,3,664,650,43.8,43.8,43.8,536,2.43,21910.0
Burfordville,Missouri,Cape Girardeau,Midwest,West North Central,37.351628,-89.817339,474,3,458,3,1,6,0,0,219,245,47.8,48.7,45.6,196,2.37,49375.0
Burlington Junction,Missouri,Nodaway,Midwest,West North Central,40.434255,-95.018443,734,0,895,3,4,7,0,4,438,460,41.7,42.1,41.0,374,2.4,31250.0
Butler,Missouri,Bates,Midwest,West North Central,38.276176,-94.282874,7057,21,6909,146,89,124,4,35,3678,3431,42.2,44.4,39.9,2890,2.39,30547.0
Butterfield,Missouri,Barry,Midwest,West North Central,36.743855,-93.925439,36,6,23,0,1,7,0,6,18,18,24.0,24.0,24.0,9,4.0,24750.0
Cabool,Missouri,Douglas,Midwest,West North Central,37.171989,-92.05291,3785,31,4791,33,85,85,1,17,2471,2388,44.1,44.9,42.8,2025,2.35,25588.0
Cadet,Missouri,Washington,Midwest,West North Central,38.010147,-90.727821,4400,4,4022,16,51,30,1,5,2003,2059,36.8,36.5,37.0,1515,2.68,27634.0
Cainsville,Missouri,Harrison,Midwest,West North Central,40.479484,-93.760927,612,1,619,1,8,4,4,1,307,322,49.8,50.1,49.5,280,2.25,25625.0
Cairo,Missouri,Randolph,Midwest,West North Central,39.523301,-92.41757,1262,7,1298,9,8,1,0,0,662,647,38.2,37.9,38.5,481,2.72,36406.0
Caledonia,Missouri,Iron,Midwest,West North Central,37.774986,-90.727894,752,1,847,0,2,3,0,0,425,424,43.3,42.0,44.7,356,2.38,30202.0
Calhoun,Missouri,Benton,Midwest,West North Central,38.450014,-93.60835,855,6,965,8,11,10,0,0,479,497,42.9,42.9,42.8,386,2.53,30972.0
California,Missouri,Cooper,Midwest,West North Central,38.62568,-92.53297,7696,47,7337,54,76,486,13,286,3958,3756,38.5,39.9,36.8,3016,2.52,38682.0
Callao,Missouri,Macon,Midwest,West North Central,39.741257,-92.643649,751,4,792,9,12,9,0,2,384,420,45.9,47.0,44.2,333,2.41,31042.0
Camden,Missouri,Ray,Midwest,West North Central,39.19651,-94.025982,453,1,463,6,1,1,0,2,225,239,41.6,40.3,42.3,175,2.65,34583.0
Camden Point,Missouri,Platte,Midwest,West North Central,39.448044,-94.72796,735,0,879,5,8,21,0,3,450,440,44.5,45.6,43.0,343,2.59,53750.0
Camdenton,Missouri,Camden,Midwest,West North Central,38.045539,-92.80269,14984,104,14027,105,151,320,14,115,7247,7039,45.1,46.0,44.0,5920,2.38,31992.0
Cameron,Missouri,Clinton,Midwest,West North Central,39.75472,-94.262314,9432,89,11483,1535,127,250,23,63,4927,8231,38.2,39.8,37.6,3817,2.45,34583.0
Campbell,Missouri,Dunklin,Midwest,West North Central,36.51695,-90.124861,3725,5,3679,20,33,67,10,26,1934,1785,42.2,43.2,40.9,1497,2.43,25957.0
Canalou,Missouri,New Madrid,Midwest,West North Central,36.750192,-89.69208,345,0,338,4,8,2,0,1,168,177,32.1,33.3,30.6,116,2.97,21719.0
Canton,Missouri,Clark,Midwest,West North Central,40.176872,-91.640765,3591,26,4013,184,13,44,8,16,2170,2049,32.9,34.3,30.8,1463,2.48,32910.0
Cape Fair,Missouri,Barry,Midwest,West North Central,36.73271,-93.505867,1338,7,1561,9,14,22,0,6,764,813,55.8,55.7,55.8,711,2.22,27162.0
Cape Girardeau,Missouri,Cape Girardeau,Midwest,West North Central,37.338206,-89.590786,42648,936,38375,5622,365,1157,42,749,23468,21526,23.4,25.0,21.93,17913,1.496666,20113.0
Cardwell,Missouri,Dunklin,Midwest,West North Central,36.063097,-90.313066,962,4,1088,10,15,57,0,25,569,551,40.3,40.9,39.9,493,2.27,24427.0
Carl Junction,Missouri,Jasper,Midwest,West North Central,37.196126,-94.563831,9497,117,9175,142,321,261,10,82,4898,4658,35.4,36.3,34.4,3362,2.83,42022.0
Carrollton,Missouri,Carroll,Midwest,West North Central,39.355109,-93.477894,5453,18,5060,155,23,76,8,9,2727,2489,42.1,43.5,40.7,2168,2.37,30603.0
Carterville,Missouri,Jasper,Midwest,West North Central,37.144802,-94.436306,1953,12,1827,18,39,73,0,46,971,928,34.7,35.8,33.3,716,2.65,29797.0
Carthage,Missouri,Jasper,Midwest,West North Central,37.181249,-94.281118,24270,231,19982,448,572,4266,143,3300,12081,11859,35.5,37.1,33.9,8752,2.68,30977.0
Caruthersville,Missouri,Pemiscot,Midwest,West North Central,36.130392,-89.699617,6740,20,4909,2155,64,164,9,69,3757,3345,35.1,36.3,33.7,2822,2.48,20969.0
Cassville,Missouri,Barry,Midwest,West North Central,36.686938,-93.811508,7867,75,7994,40,186,377,12,187,4242,4086,41.0,42.4,39.5,3241,2.52,28958.0
Catawissa,Missouri,Franklin,Midwest,West North Central,38.396092,-90.742612,2121,8,2052,9,29,18,0,5,1034,1042,41.7,41.7,41.8,762,2.72,46979.0
Catron,Missouri,New Madrid,Midwest,West North Central,36.646908,-89.73086,130,0,213,27,2,7,0,7,119,123,45.4,47.1,42.5,98,2.47,31875.0
Caulfield,Missouri,Howell,Midwest,West North Central,36.589892,-92.109557,1498,2,1620,11,16,17,0,4,800,837,46.7,46.8,46.5,684,2.39,23125.0
Cedar Hill,Missouri,Jefferson,Midwest,West North Central,38.363171,-90.641695,7771,40,7477,33,83,111,1,33,3807,3775,40.8,41.1,40.6,2782,2.69,46897.0
Cedarcreek,Missouri,Taney,Midwest,West North Central,36.565726,-93.016641,495,1,455,1,7,9,0,6,220,240,51.4,51.4,51.4,208,2.21,37964.0
Center,Missouri,Ralls,Midwest,West North Central,39.494716,-91.542474,950,6,1140,8,7,7,2,3,587,568,47.3,48.2,46.0,481,2.34,30329.0
Centertown,Missouri,Cole,Midwest,West North Central,38.653077,-92.39393,1744,2,1711,9,22,11,0,3,859,871,45.0,44.9,45.0,706,2.45,45927.0
Centerview,Missouri,Johnson,Midwest,West North Central,38.783082,-93.865952,2504,15,2311,39,30,53,1,10,1188,1180,36.4,35.6,37.2,849,2.71,39844.0
Centerville,Missouri,Reynolds,Midwest,West North Central,37.43171,-90.959996,542,1,623,20,11,5,1,1,327,318,43.9,44.2,43.8,276,2.3,24211.0
Centralia,Missouri,Audrain,Midwest,West North Central,39.192922,-92.130029,7639,34,7431,105,72,86,6,40,3938,3652,39.7,40.6,38.7,2916,2.56,38956.0
Chadwick,Missouri,Christian,Midwest,West North Central,36.8777,-93.004508,427,2,571,0,9,11,0,2,284,290,45.1,44.8,45.4,240,2.39,28173.0
Chaffee,Missouri,Scott,Midwest,West North Central,37.171343,-89.681875,5029,10,5307,28,58,47,1,11,2721,2618,38.9,40.6,37.3,2120,2.49,29162.0
Chamois,Missouri,Osage,Midwest,West North Central,38.634029,-91.752401,1077,1,1077,2,4,10,2,4,540,546,41.4,42.8,40.3,441,2.46,32566.0
Charleston,Missouri,Mississippi,Midwest,West North Central,36.914621,-89.274261,5164,25,3977,3137,23,114,4,46,2895,4240,38.0,40.4,37.0,2187,2.45,24375.0
Cherryville,Missouri,Crawford,Midwest,West North Central,37.786752,-91.267609,324,2,328,2,4,0,0,0,168,163,44.1,46.5,42.8,137,2.42,29453.0
Chesterfield,Missouri,Franklin,Midwest,West North Central,38.672294,-90.533239,59755,5061,52506,1683,269,1585,46,506,30731,28492,30.4,30.97,29.73,22754,1.77,69867.67
Chestnutridge,Missouri,Christian,Midwest,West North Central,36.84363,-93.164608,454,0,302,1,5,12,0,8,149,161,48.9,49.8,48.4,120,2.58,45875.0
Chilhowee,Missouri,Henry,Midwest,West North Central,38.588123,-93.833913,1049,10,1132,4,25,7,1,11,572,587,40.3,40.9,39.2,453,2.56,32802.0
Chillicothe,Missouri,Daviess,Midwest,West North Central,39.754668,-93.509932,11180,66,11946,437,88,159,7,64,7037,5401,40.7,41.6,39.5,4749,2.34,33001.0
Chula,Missouri,Grundy,Midwest,West North Central,39.935928,-93.490098,490,2,505,5,2,11,0,6,249,266,37.8,37.8,37.6,197,2.61,30000.0
Clarence,Missouri,Macon,Midwest,West North Central,39.735664,-92.241371,1331,0,1477,23,5,23,0,7,776,727,41.5,42.0,41.0,611,2.32,27277.0
Clark,Missouri,Audrain,Midwest,West North Central,39.274508,-92.332182,2884,13,2749,35,39,26,1,5,1405,1401,29.4,30.0,28.7,818,3.43,32500.0
Clarksburg,Missouri,Cooper,Midwest,West North Central,38.657271,-92.683032,671,0,782,3,6,13,0,4,388,398,36.5,37.1,35.7,288,2.73,31528.0
Clarksdale,Missouri,Dekalb,Midwest,West North Central,39.834725,-94.56559,776,2,757,0,8,15,0,4,371,393,45.3,45.5,45.1,324,2.36,37321.0
Clarksville,Missouri,Pike,Midwest,West North Central,39.315932,-90.897257,907,3,1057,84,7,18,0,15,560,586,48.0,48.7,47.1,512,2.24,30588.0
Clarkton,Missouri,Dunklin,Midwest,West North Central,36.432759,-89.993932,713,1,1469,85,10,135,0,118,847,806,35.2,36.4,33.9,657,2.52,19144.0
Clearmont,Missouri,Nodaway,Midwest,West North Central,40.525932,-94.988093,259,0,380,0,4,0,0,0,182,200,50.0,52.0,49.3,185,2.06,25288.0
Cleveland,Missouri,Cass,Midwest,West North Central,38.650396,-94.562066,1836,20,1973,7,39,34,0,4,998,1006,44.2,45.3,43.4,750,2.67,55543.0
Clever,Missouri,Christian,Midwest,West North Central,37.020465,-93.428828,4411,20,4598,30,79,96,2,35,2407,2271,33.8,33.5,34.1,1737,2.69,34097.0
Clifton Hill,Missouri,Chariton,Midwest,West North Central,39.409586,-92.656405,432,1,408,6,1,4,0,0,204,208,47.6,47.3,48.3,180,2.29,31016.0
Climax Springs,Missouri,Benton,Midwest,West North Central,38.128374,-92.956885,2092,8,1614,2,15,14,2,11,822,812,56.8,56.1,57.5,751,2.18,36726.0
Clinton,Missouri,Benton,Midwest,West North Central,38.378066,-93.793895,13894,60,12915,260,153,212,9,62,6847,6411,44.1,45.4,42.8,5695,2.3,30643.0
Clubb,Missouri,Wayne,Midwest,West North Central,37.232466,-90.353976,257,0,200,0,3,3,0,0,92,109,31.6,31.5,31.8,81,2.48,28438.0
Clyde,Missouri,Nodaway,Midwest,West North Central,40.271228,-94.64492,79,1,140,0,0,4,0,0,94,47,52.8,63.0,28.8,27,3.04,29375.0
Coatsville,Missouri,Appanoose,Midwest,West North Central,40.557418,-92.639732,126,0,114,0,1,0,0,0,57,57,47.5,48.5,45.3,47,2.43,40417.0
Coffey,Missouri,Daviess,Midwest,West North Central,40.104768,-94.002428,222,0,299,0,1,0,0,0,157,142,38.6,34.3,44.0,114,2.62,23125.0
Cole Camp,Missouri,Benton,Midwest,West North Central,38.448192,-93.1817,2709,9,3137,6,41,43,0,14,1614,1557,44.3,45.3,43.1,1298,2.4,29472.0
Collins,Missouri,Hickory,Midwest,West North Central,37.873962,-93.690135,903,6,1126,13,11,27,0,8,574,575,49.0,47.8,49.3,480,2.39,23287.0
Columbia,Missouri,Boone,Midwest,West North Central,38.881448,-92.397253,138795,7106,116134,17266,1626,4601,189,1776,71822,67652,9.68,9.88,9.59,55099,0.643636,9868.73
Commerce,Missouri,Scott,Midwest,West North Central,37.158407,-89.447746,64,0,59,5,0,0,0,0,26,38,44.5,40.0,47.0,27,2.37,36667.0
Conception,Missouri,Nodaway,Midwest,West North Central,40.23326,-94.674074,47,15,177,2,3,33,0,15,28,182,26.5,50.0,24.8,24,2.38,20625.0
Conception Junction,Missouri,Nodaway,Midwest,West North Central,40.271495,-94.71953,431,0,518,0,0,0,0,1,255,263,36.4,36.1,36.6,184,2.82,31477.0
Concordia,Missouri,Johnson,Midwest,West North Central,38.958373,-93.603286,2561,19,3567,14,29,70,8,17,1899,1709,42.3,43.8,40.8,1452,2.43,37373.0
Conway,Missouri,Dallas,Midwest,West North Central,37.495946,-92.802662,2904,5,2893,14,43,59,9,19,1452,1487,40.1,39.9,40.2,1099,2.67,30393.0
Cook Sta,Missouri,Crawford,Midwest,West North Central,37.871728,-91.460772,451,1,348,1,3,0,0,0,182,169,44.4,41.0,47.4,146,2.4,29300.0
Cooter,Missouri,Pemiscot,Midwest,West North Central,36.057557,-89.821816,485,0,468,18,0,2,0,0,251,234,35.1,38.4,30.3,180,2.69,29444.0
Corder,Missouri,Lafayette,Midwest,West North Central,39.116099,-93.63863,280,2,620,8,13,7,0,4,321,312,45.3,44.5,45.4,265,2.38,34234.0
Cosby,Missouri,Andrew,Midwest,West North Central,39.865127,-94.689884,667,4,777,3,2,2,0,1,386,395,43.2,42.5,44.0,293,2.67,50417.0
Couch,Missouri,Oregon,Midwest,West North Central,36.572032,-91.29041,336,0,293,3,4,1,0,0,152,146,50.6,48.0,53.0,132,2.26,23015.0
Cowgill,Missouri,Caldwell,Midwest,West North Central,39.566904,-93.927186,621,4,647,4,10,10,4,6,324,343,46.6,46.7,46.6,287,2.32,26500.0
Craig,Missouri,Holt,Midwest,West North Central,40.13172,-95.397137,842,0,782,5,4,5,0,2,388,404,48.9,49.2,48.5,355,2.23,27262.0
Crane,Missouri,Barry,Midwest,West North Central,36.904264,-93.49354,3557,17,4067,12,55,50,0,25,2087,2044,40.0,40.6,39.4,1563,2.58,29962.0
Creighton,Missouri,Cass,Midwest,West North Central,38.507206,-94.08512,956,4,983,7,9,12,0,1,484,513,41.6,41.1,42.2,397,2.51,42250.0
Crocker,Missouri,Miller,Midwest,West North Central,37.942192,-92.281752,2519,27,3234,46,59,75,2,27,1669,1646,38.8,40.0,37.5,1306,2.53,31759.0
Cross Timbers,Missouri,Benton,Midwest,West North Central,38.014877,-93.206436,738,1,755,3,13,11,0,4,399,367,49.0,47.7,50.1,328,2.3,22391.0
Crystal City,Missouri,Jefferson,Midwest,West North Central,38.229714,-90.374638,4503,48,4217,223,37,45,5,15,2286,2163,35.1,37.2,33.3,1767,2.52,36049.0
Cuba,Missouri,Crawford,Midwest,West North Central,38.133435,-91.420133,8796,30,8388,46,95,196,7,86,4321,4227,41.6,42.7,40.6,3506,2.42,30062.0
Curryville,Missouri,Pike,Midwest,West North Central,39.360096,-91.351284,993,11,1126,16,11,23,0,3,572,573,37.2,37.7,36.8,404,2.83,28472.0
Dadeville,Missouri,Dade,Midwest,West North Central,37.574925,-93.7105,528,3,535,4,15,11,0,0,275,266,47.0,46.9,47.1,218,2.38,29750.0
Daisy,Missouri,Cape Girardeau,Midwest,West North Central,37.513762,-89.826814,82,0,122,0,0,0,0,0,60,62,36.5,37.5,33.5,40,3.05,51250.0
Dalton,Missouri,Chariton,Midwest,West North Central,39.389936,-92.994042,124,0,94,7,0,1,0,0,48,53,59.5,60.0,56.5,53,1.91,26250.0
Darlington,Missouri,Gentry,Midwest,West North Central,40.194132,-94.40572,240,0,266,4,8,0,0,0,138,132,45.8,43.5,46.8,108,2.5,33295.0
Davisville,Missouri,Crawford,Midwest,West North Central,37.785339,-91.187232,392,0,518,1,13,3,0,1,249,269,49.3,48.9,50.1,223,2.32,26023.0
Dawn,Missouri,Carroll,Midwest,West North Central,39.676224,-93.600701,489,2,519,1,1,0,0,0,253,268,40.9,42.3,38.0,212,2.46,36375.0
De Kalb,Missouri,Buchanan,Midwest,West North Central,39.57513,-94.937321,619,4,717,3,16,8,0,5,364,373,40.3,40.1,40.4,270,2.73,43250.0
De Soto,Missouri,Jefferson,Midwest,West North Central,38.11666,-90.575595,20984,105,20340,232,201,196,13,88,10472,10242,39.1,40.0,38.3,7828,2.61,38919.0
De Witt,Missouri,Carroll,Midwest,West North Central,39.335076,-93.262258,146,0,232,12,1,4,0,4,124,116,48.0,47.0,49.0,106,2.26,30833.0
Dearborn,Missouri,Buchanan,Midwest,West North Central,39.527328,-94.761608,1489,8,1616,14,12,29,1,10,813,829,42.6,43.2,41.8,676,2.43,46591.0
Deepwater,Missouri,Henry,Midwest,West North Central,38.246896,-93.687301,2013,1,1864,9,29,25,0,2,928,956,50.6,50.0,51.2,833,2.26,28686.0
Deerfield,Missouri,Vernon,Midwest,West North Central,37.811648,-94.50893,246,4,347,0,7,0,0,0,173,178,43.1,43.5,42.6,141,2.49,25515.0
Defiance,Missouri,Saint Charles,Midwest,West North Central,38.6595,-90.776217,3511,20,3465,36,27,42,1,15,1739,1791,46.9,46.4,47.3,1314,2.67,69602.0
Delta,Missouri,Cape Girardeau,Midwest,West North Central,37.17533,-89.816154,111,0,111,0,2,0,0,0,53,58,46.1,49.8,41.5,45,2.47,0.0
Denver,Missouri,Gentry,Midwest,West North Central,40.41644,-94.291262,196,0,174,3,0,1,0,1,85,93,51.3,50.3,51.6,78,2.28,21875.0
Des Arc,Missouri,Iron,Midwest,West North Central,37.312603,-90.616883,517,0,601,3,12,2,0,0,307,301,43.2,41.6,44.4,242,2.51,23380.0
Devils Elbow,Missouri,Phelps,Midwest,West North Central,37.810114,-92.065744,219,6,317,13,4,9,0,6,174,164,36.0,36.3,35.7,134,2.52,15250.0
Dexter,Missouri,Stoddard,Midwest,West North Central,36.782225,-89.972441,13486,51,12962,80,129,203,5,56,6936,6187,41.8,43.2,40.4,5493,2.35,27712.0
Diamond,Missouri,Newton,Midwest,West North Central,37.023992,-94.315032,2563,59,2647,15,92,74,10,62,1392,1421,38.9,40.4,37.8,1065,2.64,34444.0
Dittmer,Missouri,Jefferson,Midwest,West North Central,38.268522,-90.705138,4537,38,5762,23,60,66,3,14,2913,2918,43.4,44.0,42.9,2216,2.62,42833.0
Dixon,Missouri,Maries,Midwest,West North Central,37.975376,-92.055649,7423,105,7867,197,149,283,38,81,4157,4076,40.3,40.8,39.7,3205,2.55,31293.0
Doe Run,Missouri,Saint Francois,Midwest,West North Central,37.712436,-90.502906,726,1,1302,15,25,26,1,14,644,685,37.9,37.5,38.6,486,2.66,30625.0
Doniphan,Missouri,Carter,Midwest,West North Central,36.66125,-90.885048,9967,61,9999,39,146,103,3,39,5132,5026,41.7,42.8,40.7,4050,2.49,22281.0
Dora,Missouri,Douglas,Midwest,West North Central,36.752548,-92.212419,993,7,1122,1,12,20,0,3,588,547,44.8,44.2,46.5,478,2.37,25043.0
Dover,Missouri,Lafayette,Midwest,West North Central,39.189918,-93.673716,39,1,173,6,1,4,0,4,86,97,47.5,46.7,49.1,79,2.32,43125.0
Downing,Missouri,Schuyler,Midwest,West North Central,40.471196,-92.416016,804,1,850,3,5,3,0,1,429,422,38.6,39.2,38.2,336,2.53,26397.0
Drexel,Missouri,Bates,Midwest,West North Central,38.503447,-94.528568,1635,12,2156,18,23,31,1,11,1091,1102,41.1,41.5,39.6,864,2.54,41531.0
Drury,Missouri,Douglas,Midwest,West North Central,36.930446,-92.363928,522,4,454,3,20,0,2,0,232,229,50.3,52.8,48.1,200,2.31,26382.0
Dudley,Missouri,Stoddard,Midwest,West North Central,36.803002,-90.140364,748,2,752,1,4,6,3,0,369,385,39.3,39.9,38.7,314,2.4,22310.0
Duenweg,Missouri,Jasper,Midwest,West North Central,37.08643,-94.408903,384,2,353,11,23,21,0,20,203,181,37.2,38.1,36.4,159,2.42,26838.0
Duke,Missouri,Phelps,Midwest,West North Central,37.669586,-91.97472,184,0,104,1,2,10,0,1,52,53,50.8,49.0,55.5,45,2.33,21750.0
Dunnegan,Missouri,Cedar,Midwest,West North Central,37.704621,-93.532115,917,1,874,5,16,13,0,7,440,447,40.0,39.8,40.2,319,2.78,23281.0
Durham,Missouri,Lewis,Midwest,West North Central,39.95896,-91.678812,442,1,464,2,12,5,0,0,229,237,39.6,38.6,40.8,181,2.57,31324.0
Dutchtown,Missouri,Cape Girardeau,Midwest,West North Central,37.2528,-89.6594,66,0,66,1,1,0,0,0,32,34,37.5,42.0,28.0,24,2.75,0.0
Eagle Rock,Missouri,Barry,Midwest,West North Central,36.576293,-93.761747,1143,2,1235,1,39,17,1,3,623,627,53.8,53.8,53.7,577,2.17,30208.0
Eagleville,Missouri,Harrison,Midwest,West North Central,40.498636,-94.009796,786,1,876,4,8,5,0,1,436,446,36.1,36.3,36.0,315,2.8,29348.0
Earth City,Missouri,Saint Louis,Midwest,West North Central,38.785723,-90.461727,3,0,2,1,0,0,0,0,1,2,55.5,29.5,68.5,3,1.0,0.0
East Lynne,Missouri,Cass,Midwest,West North Central,38.66707,-94.213615,292,2,290,7,3,5,0,2,138,154,31.8,32.7,31.2,103,2.83,38750.0
East Prairie,Missouri,Mississippi,Midwest,West North Central,36.706424,-89.307105,5780,12,5601,160,51,104,1,57,3030,2784,39.7,41.6,37.6,2375,2.43,22737.0
Easton,Missouri,Buchanan,Midwest,West North Central,39.744656,-94.680167,953,5,1082,7,15,31,0,2,559,537,47.7,46.5,48.7,457,2.39,43026.0
Edgar Springs,Missouri,Dent,Midwest,West North Central,37.710992,-91.915973,1281,6,1571,5,35,16,0,1,797,796,41.5,41.4,41.6,608,2.62,31020.0
Edgerton,Missouri,Buchanan,Midwest,West North Central,39.481574,-94.657325,1341,15,1320,2,15,19,0,4,666,674,43.4,43.7,43.3,524,2.56,49946.0
Edina,Missouri,Knox,Midwest,West North Central,40.17083,-92.067224,1817,4,1902,9,13,11,1,0,987,929,43.6,45.3,41.5,794,2.33,27664.0
Edwards,Missouri,Benton,Midwest,West North Central,38.165154,-93.171234,2647,7,1960,15,35,25,0,5,968,1028,56.3,56.1,56.6,976,2.04,21473.0
El Dorado Springs,Missouri,Cedar,Midwest,West North Central,37.846057,-94.00881,7808,30,7716,24,126,124,7,51,4033,3803,43.6,44.5,42.7,3304,2.34,24963.0
