,Latitude,Longitude,Population,Asian,White,Black,Indian,Hispanic,Hawaiian,Other,Females,Males,Median_age,Median_female_age,Median_male_age,Households,Persons_per_household,Household_income,Total_area,Land_area,Water_area,Elevation,Density
Females,-0.07132748418762408,-0.01608613013922455,0.9973363868115063,0.7463778908338742,0.9662399052465558,0.8513674943892193,0.7652348906425676,0.8339455679604417,0.3379146053851457,0.8280852601221514,1.0,0.9987898585348934,-0.288388524928566,-0.2847400705715198,-0.2850227195981799,0.9956710074887442,-0.20623587728871948,-0.03251559775898167,0.176583000872747,0.1828511438526416,0.07396293809768682,-0.057635691174087324,0.31220950107086
Males,-0.07210190616128212,-0.020338865258487767,0.9984564400854787,0.7533872999220976,0.9689819670181871,0.836791739440799,0.7707976743590191,0.8419126415543715,0.34420064696251745,0.8378413950426257,0.9987898585348934,1.0,-0.29117944177532035,-0.2874561863209155,-0.28756907640637025,0.9940060103379573,-0.204805335581423,-0.032715695077020344,0.17853256165064388,0.18503326032293335,0.07407886994029812,-0.05605913897479254,0.3078273305824497
Median_age,0.14070311531170845,0.05759681357012951,-0.290287456598784,-0.1954883166737266,-0.31750400084086805,-0.19484118533266895,-0.2703599757590059,-0.18340084017490477,-0.12468621560823413,-0.18676067739269042,-0.288388524928566,-0.29117944177532035,1.0,0.9773534444898796,0.9763966493102337,-0.2829598979114107,0.04898618215901707,0.1290733898940886,-0.06458562908220482,-0.06924477284244396,-0.01815954641308742,0.09904101792165765,-0.2947004816066807
Median_female_age,0.12119039329455951,0.07664485491674781,-0.28680180102947506,-0.1945549557416185,-0.3129056067972933,-0.1923742596812903,-0.26681383840420925,-0.18234808618423348,-0.12364192179209472,-0.18581908280028156,-0.2847400705715198,-0.2874561863209155,0.9773534444898796,1.0,0.9277482147497867,-0.27929181578213935,0.05483411023008612,0.12481290827048767,-0.07008519091723242,-0.07512339464964238,-0.01967266716579674,0.08222774848664885,-0.2813924515557843
Median_male_age,0.15677968591190983,0.0371399873266931,-0.2867042243203601,-0.1917165276690339,-0.3139674515183524,-0.19308908410306402,-0.266681976698229,-0.17997965628674387,-0.12246510854372919,-0.18314088371411238,-0.2850227195981799,-0.28756907640637025,0.9763966493102337,0.9277482147497867,1.0,-0.2797095209225888,0.054969713035320084,0.13335223093717144,-0.05901998645904463,-0.06344799865521719,-0.016028155329676483,0.11446572499258728,-0.3035768279268443
Households,-0.06697718494465418,-0.011081711799162642,0.9931840009781153,0.7382727517600186,0.9682725275584445,0.8483302161466296,0.7627098591879219,0.7998161368746443,0.3315219062344107,0.7991611995399179,0.9956710074887442,0.9940060103379573,-0.2829598979114107,-0.27929181578213935,-0.2797095209225888,1.0,-0.21875229544940614,-0.03542322157581863,0.1784769940419547,0.18375337227078725,0.07868173779900373,-0.05609876960688674,0.30555993703133977
Persons_per_household,0.011290305039837611,-0.06181903166919373,-0.2086979491167596,-0.13201450947160404,-0.2309875140535,-0.1517386519646354,-0.12938249572045352,-0.09396311126072443,-0.057961135706791275,-0.09580791633087112,-0.20623587728871948,-0.204805335581423,0.04898618215901707,0.05483411023008612,0.054969713035320084,-0.21875229544940614,1.0,0.27460117825236074,-0.07894104655164501,-0.07816689647443234,-0.04640567504223248,-0.005194372103829945,-0.07639051242724047
Household_income,0.15449381895713235,0.11554330103730688,-0.03195557659062011,-0.0015980058762264005,-0.02044913768899623,-0.05204323281743673,-0.06927600463943007,-0.04077925778430206,-0.010663825301839961,-0.041149092597790045,-0.03251559775898167,-0.032715695077020344,0.1290733898940886,0.12481290827048767,0.13335223093717144,-0.03542322157581863,0.27460117825236074,1.0,-0.013414914536056186,-0.016380006741261176,0.004110093054590195,-0.10995943461700634,0.1117505707801776
Total_area,0.05919315312138832,-0.019741805163723477,0.18080250073779366,0.12279331518243611,0.18143391974740045,0.1341780315352529,0.20606186023686768,0.13870926799967165,0.06791262644462877,0.1388634038545123,0.176583000872747,0.17853256165064388,-0.06458562908220482,-0.07008519091723242,-0.05901998645904463,0.1784769940419547,-0.07894104655164501,-0.013414914536056186,1.0,0.979702720085845,0.6235794969477705,-0.02802422364572571,-0.010297288474972431
Land_area,0.052938340514972954,-0.01726214401933057,0.18752318246732308,0.12026252131381426,0.18851296302600848,0.13900258322064393,0.21360171321025553,0.14518224317348258,0.06877464064644545,0.14602475637431092,0.1828511438526416,0.18503326032293335,-0.06924477284244396,-0.07512339464964238,-0.06344799865521719,0.18375337227078725,-0.07816689647443234,-0.016380006741261176,0.979702720085845,1.0,0.45421411186806326,-0.022130949986696312,-0.013695836905875577
Water_area,0.05542094990489087,-0.019437176891856006,0.07453750729577009,0.07699726592045703,0.07356164387183746,0.057287205250972764,0.08393123168665584,0.050153556696625946,0.03400530408349001,0.04747322244603472,0.07396293809768682,0.07407886994029812,-0.01815954641308742,-0.01967266716579674,-0.016028155329676483,0.07868173779900373,-0.04640567504223248,0.004110093054590195,0.6235794969477705,0.45421411186806326,1.0,-0.03682491692768024,0.0069784937700309805
Elevation,0.10114594776339575,-0.3903246667264252,-0.058567973607036805,-0.051091542048323876,-0.05822387258035768,-0.053509495882447154,0.018594505934489504,-0.023736979955715644,-0.0261915619834546,-0.025190462454777875,-0.057635691174087324,-0.05605913897479254,0.09904101792165765,0.08222774848664885,0.11446572499258728,-0.05609876960688674,-0.005194372103829945,-0.10995943461700634,-0.02802422364572571,-0.022130949986696312,-0.03682491692768024,1.0,-0.13953215933222043
Density,-0.03667872236370884,0.028293639925222314,0.3029774624476077,0.2966869890084067,0.30156570151845574,0.23868561338364122,0.21083108585139218,0.24474234041521217,0.14433751806011225,0.2595548497517565,0.31220950107086,0.3078273305824497,-0.2947004816066807,-0.2813924515557843,-0.3035768279268443,0.30555993703133977,-0.07639051242724047,0.1117505707801776,-0.010297288474972431,-0.013695836905875577,0.0069784937700309805,-0.13953215933222043,1.0
